name,Mix of the Year,theme,Apple Music,Mixcloud,Featured,Quote,Spotify,Tags,Year
LIFE STEPS,,,,,No,,,,2010
In Search of Ordinary Things,,Quiet,,,Yes,"I started out in search of ordinary things, how much of a tree bends in the wind?",,"ordinary, quiet",2010
CLEAR FOCUSED ALL AROUND,,,,,No,,,,2010
LESS DEPRESSED,,,,,No,,,,2011
Betty & The Boys,,,,,No,,,,2012
Little Lion,,,,,No,,,,2012
I'd Like To Thank The Guy,,Birthday,,,No,,,,2012
JOURNEY HOME,,Mix,,,Yes,over the green shadow of the forest,,"home, journey",2012
PRIMAVERA ULTIMATA,,Spring,,,No,,,,2015
Brothers For Life 33,,Birthday,,,No,,,,2015
Heart of Gold,,Mix,,,Yes,"That magic night we kissed, there in the moon mist",,"gold, heart, love songs, really real, soul",2015
Long Time | Faz Tempo,,Mix,,https://www.mixcloud.com/themichaelwarren/faz-tempo-any-time/,Yes,"Um canto pra gente fica, na cidade ou pelo litoral",,"60s france, ancient egypt, exotica, king of pop, oldies",2015
HONEY 29,,Birthday,,,No,,,,2015
WARM WELCOME,,Winter,,,No,,,,2015
THINKING OF YOU DEAR,,Mix,,,Yes,Some lights never go out,,"hip hop, japanese, pop, sugary sweet",2015
MAGIC HOUR,1,Mix,,,Yes,Time has gone inside out . . .,,"clouds, magic, tokyo",2016
SUMMER SAUNA,2,Summer,,,Yes,"It's too hot to sleep, but not too hot to dream",,"SUMMER, heat wave, nice dreams, sauna",2016
MONDAY TOMORROW,1,,,,No,,,,2017
HONEY 31,2,Birthday,,,No,,,,2017
Slide Into Summer,3,Summer,,,Yes,While the bluebirds sing their magic song . . .,,"SUMMER, bluebirds, grass, green, slide",2017
WINTER WONDER,1,Winter,,,No,,,,2018
UP DOWN ALL AROUND,2,Buddies,https://itunes.apple.com/us/playlist/up-down-all-around/pl.u-pWbYU4b1m2N,,No,,,,2018
ONCE UPON A TIME,3,Spring,,,Yes,"When the spring is cold, where do robins go?",,SPRING,2018
Come On Summer,4,Summer,https://itunes.apple.com/us/playlist/come-on-summer/pl.u-pWzls4b1m2N,,Yes,This summer is awesomer than all summers before,,"SUMMER, awesomer, beach, indie",2018
Summer Sentimental,5,Summer,,,Yes,"If I saw you on the street, would I have you in my dreams tonight?",,"SUMMER, sentimental",2018
SUMMER SURF,6,Summer,,,No,"Love is like a heat wave, burning in my heart",,,2018
GOOD ON YA,7,Birthday,,,No,,,,2018
BUDDY CAN DO IT,8,Birthday,https://itunes.apple.com/us/playlist/buddy-can-do-it/pl.u-0lXzCWzRK8Z,,No,,,,2018
Red & Gold,9,Fall,https://itunes.apple.com/us/playlist/red-gold/pl.u-Xr4RtD7v5ly,,No,,,,2018
WINTER WHITE,10,Winter,https://itunes.apple.com/us/playlist/winter-white/pl.u-rVjPTPbvB4Z,,No,,,,2018
Echoing Green,1,Spring,https://itunes.apple.com/us/playlist/echoing-green/pl.u-EljGTa084d6,,No,,,,2019
SUMMER CITRUS,2,Summer,https://music.apple.com/us/playlist/summer-citrus/pl.u-zqgLSZbr3Dq,https://www.mixcloud.com/themichaelwarren/summer-citrus/,No,,,,2019
SUMMER SUNDAY,3,Summer,https://music.apple.com/us/playlist/summer-sunday/pl.u-ry5GSPbvB4Z,https://www.mixcloud.com/themichaelwarren/summer-sunday/,No,,,,2019
DAVEY,4,Birthday,https://music.apple.com/us/playlist/davey/pl.u-qg76U2qvEgD,https://www.mixcloud.com/themichaelwarren/davey/,Yes,"You can find me in town, any street, wandering towards . . .",,BIRTHDAY MIX,2019
DAVEY II,5,Birthday,https://music.apple.com/us/playlist/davey-ii/pl.u-50gqs8Wdv3r,https://www.mixcloud.com/themichaelwarren/davey-ii/,No,,,,2019
DAVEY III,6,Birthday,,,No,,,,2019
Brothers For Life 41,1,Birthday,https://music.apple.com/us/playlist/brothers-for-life-41-the-kids-are-alright/pl.u-pBvYF4b1m2N,,Yes,The generation of teenage overpopulation . . .,https://open.spotify.com/playlist/4vXXvQ9KsmCElbsw9EESPx?si=37257a069dda4659,BIRTHDAY MIX,2023
COOEE!!,5,Birthday,,,No,,,BIRTHDAY MIX,2020
Streuth!,1,Birthday,,,No,,,,2021
TRUE BLUE,2,Birthday,,,Yes,"Oh, I love the way you dance, how you move your feet",,"BIRTHDAY MIX, true blue",2022
Brothers For Life 40,1,Birthday,https://music.apple.com/us/playlist/40-for-40/pl.u-yMk3FY5y831,,No,,,,2022
DAVEY 33 — GET IT,3,Birthday,https://music.apple.com/us/playlist/davey-33-get-it/pl.u-0BNaFWzRK8Z,,No,,,,2022
DAVEY 33 — GET IT 2,4,Birthday,https://music.apple.com/us/playlist/davey-33-get-it-2/pl.u-zGJLhZbr3Dq,,No,,,,2022
STAY AT HOME 4,4,,,,No,,,,2020
STAY AT HOME,1,,,,No,,,,2020
STAY AT HOME 2,2,,,,No,,,,2020
STAY AT HOME 3,3,,,,No,,,,2020
Homewalk,,Fall,,,No,,,,2014
WINTER WHIPALONG,,Winter,,,No,,,,2012
MUST BE ALRIGHT,,Mix,,,Yes,"Come clouds of gray on rainy days, nothin' seems to bother me",,"brazil, doo-wop, girl groups, love",2014
Moment of the Truth,,,,,No,,,,2015
Ease Into Autumn,,Fall,,,No,,,,2011
Man You Ain’t Like Anybody Else,,,,,No,,,,2012
(C’Mon) Snap Out Of The Funk You’re In,,Buddies,,,No,,,,2014
No Path Was Solely My Own,,,,,No,,,,2014
(TURN A BACK-OVER) FLIP INTO FALL,,Fall,,,No,,,,2012
Don’t Be Afraid of Loneliness,,,,,No,,,,2011
NO SAD TOMORROW,,,,,No,,,,2011
Magical Things Are Happening In This World,,,,,No,,,,2010
Wild Cone,5,,,https://www.mixcloud.com/themichaelwarren/wild-cone/,No,,,"ice cream, love songs",2019
On a Cold Day in Springtime,1,,,,No,,,SPRING,2010
Near The Tower,,,,,No,Like the meadows where she was born on midsummer’s eve,,"SUMMER, flowers, peace",2012
SIDEWAYS SKY,,Mix,,,Yes,くもり　はれま　くもり　はれま　くもり　はれま,,"sea, sky",2016
ROMP,2,Birthday,,,Yes,Life is not so complicated,,"BIRTHDAY MIX, lemonade, pickle music",2023
It’s Beginning To Look A Lot Like Christmas,3,Winter,,,Yes,"Some day soon we all will be together, if the fates allow",,,2023
